date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:27	7715/7715	------	200	untouched ('OK')	text/html	etag:W/%226611-7CRG3xlJiYjoVZOUJhQhJazVr3k%22	https://api.xyroinee.xyz/robots.txt		(from )
08:57:27	112/112	------	302	error ('Found')	text/html	date:Sun,%2017%20Sep%202023%2001:07:05%20GMT	https://api.xyroinee.xyz/dashboard/	/storage/emulated/0/HTTrack/Websites/web2/api.xyroinee.xyz/dashboard/index.html	(from )
08:57:27	32315/32315	------	200	untouched ('OK')	text/html	etag:W/%227e3b-aBCF8RbmhyasCcZo/ECt6bq7NzU%22	https://api.xyroinee.xyz/dashboard	/storage/emulated/0/HTTrack/Websites/web2/api.xyroinee.xyz/dashboard.html	(from https://api.xyroinee.xyz/dashboard/)
08:57:27	156/156	------	302	error ('Found')	text/html	date:Sun,%2017%20Sep%202023%2001:07:40%20GMT	https://api.xyroinee.xyz/logout	/storage/emulated/0/HTTrack/Websites/web2/api.xyroinee.xyz/logout.14.delayed	(from https://api.xyroinee.xyz/dashboard)
08:57:27	155758/155758	------	200	untouched ('OK')	text/css	etag:W/%222606e-1894057d23c%22	https://api.xyroinee.xyz/assets/plugins/bootstrap/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/web2/api.xyroinee.xyz/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://api.xyroinee.xyz/dashboard)
08:57:27	240219/240219	------	200	untouched ('OK')	text/css	etag:W/%223aa5b-189405a4ed4%22	https://api.xyroinee.xyz/assets/css/main.css	/storage/emulated/0/HTTrack/Websites/web2/api.xyroinee.xyz/assets/css/main.css	(from https://api.xyroinee.xyz/dashboard)
08:57:27	3186/3186	------	200	untouched ('OK')	text/css	etag:W/%22c72-1894057e1c8%22	https://api.xyroinee.xyz/assets/plugins/charts-c3/c3.min.css	/storage/emulated/0/HTTrack/Websites/web2/api.xyroinee.xyz/assets/plugins/charts-c3/c3.min.css	(from https://api.xyroinee.xyz/dashboard)
08:57:28	6635/6635	------	200	untouched ('OK')	text/css	etag:W/%2219eb-18940583670%22	https://api.xyroinee.xyz/assets/plugins/jvectormap/jvectormap-2.0.3.css	/storage/emulated/0/HTTrack/Websites/web2/api.xyroinee.xyz/assets/plugins/jvectormap/jvectormap-2.0.3.css	(from https://api.xyroinee.xyz/dashboard)
08:57:28	160680/160680	------	200	untouched ('OK')	application/javascript	etag:W/%22273a8-1894057e1c8%22	https://api.xyroinee.xyz/assets/plugins/chartjs/chart.min.js	/storage/emulated/0/HTTrack/Websites/web2/api.xyroinee.xyz/assets/plugins/chartjs/chart.min.js	(from https://api.xyroinee.xyz/dashboard)
08:57:28	821/821	------	200	untouched ('OK')	text/css	etag:W/%22335-1894057e0d8%22	https://api.xyroinee.xyz/assets/plugins/chartist-plugin-tooltip/chartist-plugin-tooltip.css	/storage/emulated/0/HTTrack/Websites/web2/api.xyroinee.xyz/assets/plugins/chartist-plugin-tooltip/chartist-plugin-tooltip.css	(from https://api.xyroinee.xyz/dashboard)
